"Time","Date","---","Sensor Name","Data"
"12:31:59","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:32:01","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:32:03","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:32:05","7/11/17","DATA","PRESSURE_S:","-2.30"
"12:32:07","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:32:09","7/11/17","DATA","PRESSURE_S:","-2.30"
"12:32:11","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:32:13","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:32:15","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:32:17","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:32:19","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:32:21","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:32:23","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:32:25","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:32:27","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:32:29","7/11/17","DATA","PRESSURE_S:","-3.00"
"12:32:31","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:32:33","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:32:35","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:32:37","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:32:39","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:32:41","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:32:43","7/11/17","DATA","PRESSURE_S:","-2.80"
"12:32:45","7/11/17","DATA","PRESSURE_S:","-2.30"
"12:32:47","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:32:49","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:32:51","7/11/17","DATA","PRESSURE_S:","-2.60"
"12:32:53","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:32:55","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:32:57","7/11/17","DATA","PRESSURE_S:","-1.50"
"12:32:59","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:33:01","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:33:03","7/11/17","DATA","PRESSURE_S:","-2.40"
"12:33:05","7/11/17","DATA","PRESSURE_S:","-2.10"
"12:33:07","7/11/17","DATA","PRESSURE_S:","-1.90"
"12:33:09","7/11/17","DATA","PRESSURE_S:","-2.70"
"12:33:11","7/11/17","DATA","PRESSURE_S:","-2.50"
"12:33:13","7/11/17","DATA","PRESSURE_S:","-2.70"
"12:33:15","7/11/17","DATA","PRESSURE_S:","-2.50"
"12:33:17","7/11/17","DATA","PRESSURE_S:","-2.50"
"12:33:19","7/11/17","DATA","PRESSURE_S:","-2.20"
"12:33:21","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:33:23","7/11/17","DATA","PRESSURE_S:","-2.50"
"12:33:25","7/11/17","DATA","PRESSURE_S:","-1.70"
"12:33:27","7/11/17","DATA","PRESSURE_S:","-3.10"
"12:33:29","7/11/17","DATA","PRESSURE_S:","-2.00"
"12:33:31","7/11/17","DATA","PRESSURE_S:","-2.90"
"12:33:34","7/11/17","DATA","PRESSURE_S:","-2.90"
